No,Namespace,Variable,Description,Render Section,Category,Value
504,KS4_25,ATT8SCROPENG_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for open element - GCSE only,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,23.4
505,KS4_25,ATT8SCROPENNG_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for open element - non-GCSE only,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,0.2
506,KS4_25,DIFFN_ATT8,Difference between Attainment 8 for disadvantaged pupils in school/LA and non-disadvantaged pupils nationally,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,21.8
507,KS4_25,ATT8SCR_EAL,Average Attainment 8 score per pupil for whom English is an additional language,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,80.5
508,KS4_25,ATT8SCRENG_EAL,Average Attainment 8 score per pupil for whom English is an additional language for English element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,16
509,KS4_25,ATT8SCRMAT_EAL,Average Attainment 8 score per pupil for whom English is an additional language for mathematics element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,16.7
510,KS4_25,ATT8SCREBAC_EAL,Average Attainment 8 score per pupil for whom English is an additional language for EBacc element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,24.5
511,KS4_25,ATT8SCROPEN_EAL,Average Attainment 8 score per pupil for whom English is an additional language for open element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,23.3
512,KS4_25,ATT8SCROPENG_EAL,Average Attainment 8 score per pupil for whom English is an additional language - GCSE only,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,23.1
513,KS4_25,ATT8SCROPENNG_EAL,Average Attainment 8 score per pupil for whom English is an additional language - non-GCSE only,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,0.2
514,KS4_25,ATT8SCR_GIRLS,Average Attainment 8 score per girl,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,82
515,KS4_25,ATT8SCRENG_GIRLS,Average Attainment 8 score per girl for English element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,16.4
516,KS4_25,ATT8SCRMAT_GIRLS,Average Attainment 8 score per girl for mathematics element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,16.4
517,KS4_25,ATT8SCREBAC_GIRLS,Average Attainment 8 score per girl for EBacc element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,25.2
518,KS4_25,ATT8SCROPEN_GIRLS,Average Attainment 8 score per girl for open element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,24.1
519,KS4_25,ATT8SCROPENG_GIRLS,Average Attainment 8 score per girl - GCSE only,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,24
520,KS4_25,ATT8SCROPENNG_GIRLS,Average Attainment 8 score per girl - non-GCSE only,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,0.1
521,KS4_25,ATT8SCR_BOYS,Average Attainment 8 score per boy,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,79
522,KS4_25,ATT8SCRENG_BOYS,Average Attainment 8 score per boy for English element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,15.2
523,KS4_25,ATT8SCRMAT_BOYS,Average Attainment 8 score per boy for mathematics element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,16.4
524,KS4_25,ATT8SCREBAC_BOYS,Average Attainment 8 score per boy for EBacc element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,24.3
525,KS4_25,ATT8SCROPEN_BOYS,Average Attainment 8 score per boy for open element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,23.1
526,KS4_25,ATT8SCROPENG_BOYS,Average Attainment 8 score per boy - GCSE only,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,22.9
527,KS4_25,ATT8SCROPENNG_BOYS,Average Attainment 8 score per boy - non-GCSE only,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,0.2
528,KS4_25,ATT8SCR_NMOB,Average Attainment 8 score per non-mobile pupil,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,80.1
529,KS4_25,ATT8SCRENG_NMOB,Average Attainment 8 score per non-mobile pupil for English element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,15.6
530,KS4_25,ATT8SCRMAT_NMOB,Average Attainment 8 score per non-mobile pupil for mathematics element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,16.4
531,KS4_25,ATT8SCREBAC_NMOB,Average Attainment 8 score per non-mobile pupil for EBacc element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,24.6
532,KS4_25,ATT8SCROPEN_NMOB,Average Attainment 8 score per non-mobile pupil for open element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,23.4
533,KS4_25,ATT8SCROPENG_NMOB,Average Attainment 8 score per non-mobile pupil - GCSE only,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,23.2
534,KS4_25,ATT8SCROPENNG_NMOB,Average Attainment 8 score per non-mobile pupil - non-GCSE only,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,0.2
535,KS4_25,PTEBACC_EFSM6CLA1A_PTQ_EE,% of disadvantaged pupils entering all English Baccalaureate subject areas,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,85.7%
536,KS4_25,PTEBACC_ENFSM6CLA1A_PTQ_EE,% of non-disadvantaged pupils entering all English Baccalaureate subject areas,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,94.4%
537,KS4_25,PTEBACC_94_FSM6CLA1A,% of disadvantaged pupils achieving the English Baccalaureate - with 9-4 passes,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,85.7%
538,KS4_25,PTEBACC_95_FSM6CLA1A,% of disadvantaged pupils achieving the English Baccalaureate - with 9-5 passes,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,71.4%
539,KS4_25,PTEBACC_94_NFSM6CLA1A,% of non-disadvantaged pupils achieving the English Baccalaureate - with 9-4 passes,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,94.4%
540,KS4_25,PTEBACC_95_NFSM6CLA1A,% of non-disadvantaged pupils achieving the English Baccalaureate - with 9-5 passes,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,93.2%
541,KS4_25,PBEBACC_E_PTQ_EE,% of boys with entries in all English Baccalaureate subject areas,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,92.8%
542,KS4_25,PBEBACC_94,% of KS4 boys achieving the Ebacc - with 9-4 passes,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,92.8%
543,KS4_25,PBEBACC_95,% of KS4 boys achieving the Ebacc - with 9-5 passes,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,90.4%
544,KS4_25,PGEBACC_E_PTQ_EE,% of girls with entries in all English Baccalaureate subject areas,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,95.5%
545,KS4_25,PGEBACC_94,% of KS4 girls achieving the Ebacc - with 9-4 passes,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,95.5%
546,KS4_25,PGEBACC_95,% of KS4 girls achieving the Ebacc - with 9-5 passes,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,93.9%
547,KS4_25,PTEBACC_ENMOB_PTQ_EE,% of non-mobile pupils with entries in all English Baccalaureate subject areas,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,93.7%
548,KS4_25,PTEBACCNMOB_94,% of non-mobile pupils achieving the English Baccalaureate with 9-4 passes,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,93.7%
549,KS4_25,PTEBACCNMOB_95,% of non-mobile pupils achieving the English Baccalaureate with 9-5 passes,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,91.6%
550,KS4_25,PTEBACC_EEAL_PTQ_EE,% of pupils for whom English is an additional language with entries in all English Baccalaureate subject areas,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,95.2%
551,KS4_25,PTEBACCEAL_94,% of pupils for whom English as an additional language achieving the English Baccalaureate with 9-4 passes,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,95.2%
552,KS4_25,PTEBACCEAL_95,% of pupils for whom English as an additional language achieving the English Baccalaureate with 9-5 passes,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,95.2%
553,KS4_25,PT5EM_94,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,99.0%
554,KS4_25,PTANYQ_PTQ_EE,% of pupils achieving any qualifications,A5-KS4-T6-Entries,KS4 + KS5  Ages 11 to 18 Mixed sex,99.5%
555,KS4_25,PTFSM6CLA1ABASICS_94,% of disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,92.9%
556,KS4_25,PTNOTFSM6CLA1ABASICS_94,% of non-disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,100.0%
557,KS4_25,PBL2BASICS_94,% of boys achieving standard 9-4 passes in both English and mathematics GCSEs,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,99.2%
