COUNTA of No,,Category,,,,,,,,,
Namespace,Variable,Category,KS1 + KS2 Ages 3 to 11 Mixed sex,KS1 only Ages 3 to 7 Mixed sex,KS2 Ages 7 to 11 Mixed sex,KS4 + KS5  Ages 11 to 18 Mixed sex,KS4 Ages 11 to 16 Mixed sex,Private Ages 10 to 19 Mixed sex ,Private Ages 2 to 11 Mixed sex,Private Ages 4 to 18 Mixed sex,Grand Total
,PTMAT_HIGH_NOTFSM6CLA1A,,1,,1,,,,,,2
,PTMOBN,,1,,1,,,,,,2
,PTNOTFSM6CLA1A,,1,,1,,,,,,2
,PTNOTFSM6CLA1A_23,,1,,1,,,,,,2
,PTNOTFSM6CLA1A_24,,1,,1,,,,,,2
,PTREAD_AT,,1,,1,,,,,,2
,PTREAD_EXP,,1,,1,,,,,,2
,PTREAD_EXP_FSM6CLA1A,,1,,1,,,,,,2
,PTREAD_EXP_H,,1,,1,,,,,,2
,PTREAD_EXP_L,,1,,1,,,,,,2
,PTREAD_EXP_M,,1,,1,,,,,,2
,PTREAD_EXP_NOTFSM6CLA1A,,1,,1,,,,,,2
,PTREAD_HIGH,,1,,1,,,,,,2
,PTREAD_HIGH_FSM6CLA1A,,1,,1,,,,,,2
,PTREAD_HIGH_H,,1,,1,,,,,,2
,PTREAD_HIGH_L,,1,,1,,,,,,2
,PTREAD_HIGH_M,,1,,1,,,,,,2
,PTREAD_HIGH_NOTFSM6CLA1A,,1,,1,,,,,,2
,PTRWM_EXP,,1,,1,,,,,,2
,PTRWM_EXP_23,,1,,1,,,,,,2
,PTRWM_EXP_24,,1,,1,,,,,,2
,PTRWM_EXP_3YR,,1,,1,,,,,,2
,PTRWM_EXP_B,,1,,1,,,,,,2
,PTRWM_EXP_EAL,,1,,1,,,,,,2
,PTRWM_EXP_FSM6CLA1A,,1,,1,,,,,,2
,PTRWM_EXP_FSM6CLA1A_23,,1,,1,,,,,,2
,PTRWM_EXP_FSM6CLA1A_24,,1,,1,,,,,,2
,PTRWM_EXP_G,,1,,1,,,,,,2
,PTRWM_EXP_H,,1,,1,,,,,,2
,PTRWM_EXP_L,,1,,1,,,,,,2
,PTRWM_EXP_M,,1,,1,,,,,,2
,PTRWM_EXP_MOBN,,1,,1,,,,,,2
,PTRWM_EXP_NOTFSM6CLA1A,,1,,1,,,,,,2
,PTRWM_EXP_NOTFSM6CLA1A_23,,1,,1,,,,,,2
,PTRWM_EXP_NOTFSM6CLA1A_24,,1,,1,,,,,,2
,PTRWM_HIGH,,1,,1,,,,,,2
,PTRWM_HIGH_23,,1,,1,,,,,,2
,PTRWM_HIGH_24,,1,,1,,,,,,2
,PTRWM_HIGH_3YR,,1,,1,,,,,,2
,PTRWM_HIGH_B,,1,,1,,,,,,2
,PTRWM_HIGH_EAL,,1,,1,,,,,,2
,PTRWM_HIGH_FSM6CLA1A,,1,,1,,,,,,2
